# 
# 04/25/2026 11:36:49
# The parameters defined in the project are:
# ,P1 - Heat_flux [W/m^2],P6 - Crop_Porosity,P2 - tray_1Temp [K],P3 - Tray_2Temp [K],P4 - Tray_3Temp [K],P5 - Tray_4Temp [K]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P6,P2,P3,P4,P5
DP 0,575,0.8,329.99389,319.39524,312.97219,308.43391
DP 1,500,0.8,326.89122,317.09326,311.09525,307.17664
DP 2,300,0.8,317.75789,311.32355,307.35826,304.76001
DP 3,400,0.8,322.51252,314.32955,309.30538,306.01875
DP 4,600,0.8,330.14919,319.45425,313.00482,308.44833
DP 5,700,0.8,331.31346,319.87568,313.22812,308.54919
DP 6,800,0.8,333.01064,320.82283,313.67715,308.79341
DP 7,500,0.5,327.08413,317.10317,310.94542,306.99447
DP 8,500,0.6,327.05076,317.10173,310.97127,307.0255
DP 9,500,0.7,326.99637,317.0992,311.01355,307.07659
DP 10,500,0.9,326.60359,317.0708,311.32016,307.46035
DP 11,800,0.5,333.25036,321.00654,313.69004,308.7328
DP 12,800,0.9,332.92504,321.38855,314.54773,309.45111
DP 13,300,0.5,317.8892,311.33597,307.26371,304.64222
DP 14,300,0.9,317.56207,311.30007,307.5002,304.9435
DP 15,600,0.6,330.45254,319.5349,312.93944,308.39074
DP 16,600,0.7,330.40795,319.53891,312.97997,308.42612
DP 17,400,0.6,322.64853,314.33956,309.20375,305.89353
DP 18,400,0.7,322.6021,314.33639,309.23838,305.93584
DP 19,700,0.6,331.87273,320.29467,313.34196,308.58314
DP 20,700,0.7,331.77238,320.20652,313.33918,308.5993
DP 21,550,0.75,329.0235,318.3978,311.88477,307.65714
DP 22,320,0.55,318.87514,311.96238,307.67229,304.90777
DP 23,320,0.65,318.8451,311.95987,307.69399,304.93453
DP 24,320,0.75,318.79239,311.95509,307.73228,304.98209
DP 25,320,0.85,318.67586,311.94307,307.8172,305.08946
DP 26,340,0.55,319.85253,312.57753,308.0658,305.15938
DP 27,340,0.65,319.82105,312.57503,308.08872,305.1876
